,response
306,"truth_Narrative_Frame                                       Legal Justice/Accountability
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                                  Legal
bluesky_Narrative_Frame                   Legal Justice/Accountability & Political Stunt
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject     Critical (through association with the ghostwr...
bluesky_Topic_Focus                    Legal/Institutional (specifically Congressiona...
mastodon_Narrative_Frame                         Legal Justice / Congressional Oversight
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject    Critical (indirectly - through actions against...
mastodon_Topic_Focus                                               Legal / Institutional
dtype: object"
308,"truth_Narrative_Frame                   Political Endorsement/Support & Patriotism
truth_Main_Subject                                                      Gabe Evans
truth_Stance_toward_main_subject                                        Supportive
truth_Topic_Focus                      Institutional (Political Campaign & Policy)
bluesky_Narrative_Frame                        Institutional/Political Competition
bluesky_Main_Subject                                                    Gabe Evans
bluesky_Stance_toward_main_subject                                      Supportive
bluesky_Topic_Focus                                        Institutional/Political
mastodon_Narrative_Frame                             Political Competition/Success
mastodon_Main_Subject                                                   Gabe Evans
mastodon_Stance_toward_main_subject                                     Supportive
mastodon_Topic_Focus                          Institutional (Political Nomination)
dtype: object"
309,"truth_Narrative_Frame                                     Political Strategy/Campaigning
truth_Main_Subject                                                GOP (Republican Party)
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                                 Institutional/Political Strategy
bluesky_Main_Subject                                       Senate GOP (Republican Party)
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                          Institutional (Political Campaign Strategy)
mastodon_Narrative_Frame                                Institutional/Political Strategy
mastodon_Main_Subject                                           Senate Republicans (GOP)
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                   Institutional (Political Strategy/Campaign Fin...
dtype: object"
310,"truth_Narrative_Frame                                               Institutional/Policy
truth_Main_Subject                                                      Republican Party
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                      Institutional (specifically, policy regarding ...
bluesky_Narrative_Frame                                             Institutional/Policy
bluesky_Main_Subject                            Republican National Convention (RNC)/GOP
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                    Institutional (Security protocols and policy d...
mastodon_Narrative_Frame                                             Institutional/Legal
mastodon_Main_Subject                         Republican National Convention (RNC) / GOP
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                   Institutional (Security protocols and law enfo...
dtype: object"
312,"truth_Narrative_Frame                            Institutional/Political Competition
truth_Main_Subject                                                          Tom Cole
truth_Stance_toward_main_subject                                             Neutral
truth_Topic_Focus                                            Institutional/Political
bluesky_Narrative_Frame                             Political Competition/Incumbency
bluesky_Main_Subject                                                        Tom Cole
bluesky_Stance_toward_main_subject                                           Neutral
bluesky_Topic_Focus                                          Institutional/Political
mastodon_Narrative_Frame               Political Competition/Challenge to Incumbency
mastodon_Main_Subject                                                       Tom Cole
mastodon_Stance_toward_main_subject                                          Neutral
mastodon_Topic_Focus                                         Institutional/Political
dtype: object"
316,"truth_Narrative_Frame                               Media Bias / Legal Justice (Implied)
truth_Main_Subject                     Unclear (Implied: Likely Donald Trump or those...
truth_Stance_toward_main_subject       Supportive (Implied - the phrase 'But of Cours...
truth_Topic_Focus                      Legal (Implied - likely referencing a legal ca...
bluesky_Narrative_Frame                                           Media Bias / Dismissal
bluesky_Main_Subject                   Unclear (likely refers to a news event or stat...
bluesky_Stance_toward_main_subject                                  Dismissive/Skeptical
bluesky_Topic_Focus                                                 Media/News Reporting
mastodon_Narrative_Frame                                           Media Bias / Cynicism
mastodon_Main_Subject                  Unclear (likely refers to a legal or political...
mastodon_Stance_toward_main_subject       Critical (expresses skepticism or disapproval)
mastodon_Topic_Focus                   Legal/Institutional (suggests a reaction to a ...
dtype: object"
317,"truth_Narrative_Frame                                      Political Disruption/Populism
truth_Main_Subject                                                          Nigel Farage
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                       Political Instability & Existential Threat
bluesky_Main_Subject                                             Conservative Party (UK)
bluesky_Stance_toward_main_subject     Critical (concerned about potential consequenc...
bluesky_Topic_Focus                    Institutional (focus on the political party an...
mastodon_Narrative_Frame                            Cult Allegation/Political Comparison
mastodon_Main_Subject                                           Reform UK & Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
319,"mastodon_Narrative_Frame                                             Media Bias/Intrigue
mastodon_Main_Subject                  Unclear (potentially referencing a news event ...
mastodon_Stance_toward_main_subject    Unclear - The post expresses intrigue, which c...
mastodon_Topic_Focus                   Institutional (likely referencing media report...
dtype: object"
320,"truth_Narrative_Frame                                        Unclear/Potentially Ominous
truth_Main_Subject                                                               Unclear
truth_Stance_toward_main_subject       Unclear/Potentially Negative (depending on con...
truth_Topic_Focus                      Unclear/Procedural (likely related to an upcom...
bluesky_Narrative_Frame                                      Unclear/Potentially Ominous
bluesky_Main_Subject                                                             Unclear
bluesky_Stance_toward_main_subject     Neutral/Potentially Negative (depending on con...
bluesky_Topic_Focus                    Unclear - likely related to a pre-existing con...
mastodon_Narrative_Frame               Unclear - Requires further context. The phrase...
mastodon_Main_Subject                  Unclear - The post does not explicitly mention...
mastodon_Stance_toward_main_subject    Unclear - Without a subject, a stance cannot b...
mastodon_Topic_Focus                   Unclear -  The post is simply a phrase.  The t...
dtype: object"
321,"truth_Narrative_Frame                                  Persecution/Defense of Reputation
truth_Main_Subject                                                           Fani Willis
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional/Legal (specifically, the Distric...
bluesky_Narrative_Frame                                       Legal Justice & Media Bias
bluesky_Main_Subject                                                         Fani Willis
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                      Legal Justice / Media Bias
mastodon_Main_Subject                                                        Fani Willis
mastodon_Stance_toward_main_subject    Neutral (reporting on actions, but framing sug...
mastodon_Topic_Focus                                                               Legal
dtype: object"
322,"truth_Narrative_Frame                  Comparison/Contrast (lacking a deeper frame wi...
truth_Main_Subject                     Unclear (likely refers to Trump and Biden, but...
truth_Stance_toward_main_subject       Neutral (simply observes a difference, no judg...
truth_Topic_Focus                      Political/Institutional (focuses on candidates...
bluesky_Narrative_Frame                                 Political Comparison/Equivalence
bluesky_Main_Subject                                   Both Trump and Biden (implicitly)
bluesky_Stance_toward_main_subject      Critical (implies a negative assessment of both)
bluesky_Topic_Focus                    Institutional (focuses on the candidates and i...
mastodon_Narrative_Frame                                   Equivalence/False Equivalence
mastodon_Main_Subject                                               Both Trump and Biden
mastodon_Stance_toward_main_subject     Critical (implies a negative assessment of both)
mastodon_Topic_Focus                   Institutional/Political (comments on the candi...
dtype: object"
323,"truth_Narrative_Frame                                             Persecution/Media Bias
truth_Main_Subject                                                          Samuel Alito
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal/Institutional (with elements of cultural...
bluesky_Narrative_Frame                Media Bias & Persecution (framed as exposing r...
bluesky_Main_Subject                                     Martha-Ann Alito & Samuel Alito
bluesky_Stance_toward_main_subject     Critical (portrays Martha-Ann Alito negatively...
bluesky_Topic_Focus                    Institutional (focuses on potential conflicts ...
mastodon_Narrative_Frame               Media Bias & Persecution (framed as retaliatio...
mastodon_Main_Subject                                    Samuel Alito & Martha-Ann Alito
mastodon_Stance_toward_main_subject    Critical (portrays Martha-Ann Alito as threate...
mastodon_Topic_Focus                   Legal/Institutional (concerns a Supreme Court ...
dtype: object"
324,"truth_Narrative_Frame                               Institutional Reform/Systemic Change
truth_Main_Subject                                          Congress (as an institution)
truth_Stance_toward_main_subject                  Critical (implies the need for reform)
truth_Topic_Focus                                                          Institutional
bluesky_Narrative_Frame                             Institutional Reform/Legal Challenge
bluesky_Main_Subject                           US Congress/Elected Officials (generally)
bluesky_Stance_toward_main_subject     Critical (regarding age of elected officials, ...
bluesky_Topic_Focus                                                  Institutional/Legal
mastodon_Narrative_Frame                             Institutional Reform/Accountability
mastodon_Main_Subject                    Congress (generally, not a specific individual)
mastodon_Stance_toward_main_subject    Critical (implies Congress is potentially not ...
mastodon_Topic_Focus                   Institutional (focuses on the age of members o...
dtype: object"
325,"truth_Narrative_Frame                             National Security/Economic Competition
truth_Main_Subject                                                             Elon Musk
truth_Stance_toward_main_subject                                      Critical/Skeptical
truth_Topic_Focus                                                 Institutional/Economic
bluesky_Narrative_Frame                               Personal Conflict/Business Rivalry
bluesky_Main_Subject                                                           Elon Musk
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                               Institutional/Business
mastodon_Narrative_Frame                                     Business/Corporate Conflict
mastodon_Main_Subject                                                          Elon Musk
mastodon_Stance_toward_main_subject    Neutral (reporting on actions, but doesn't inh...
mastodon_Topic_Focus                   Institutional (specifically, corporate policy ...
dtype: object"
326,"truth_Narrative_Frame                  Media Misrepresentation/Distortion & Potential...
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject       Critical (due to misrepresentation and implied...
truth_Topic_Focus                      Institutional (focusing on perceived threat to...
bluesky_Narrative_Frame                        Media Bias/Competence & Cognitive Decline
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically, presidential comp...
mastodon_Narrative_Frame                                 Media Bias/Performance Critique
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                           Performance/Communication
dtype: object"
327,"truth_Narrative_Frame               Unclear - potentially signaling agreement or e...
truth_Main_Subject                     Unclear - The post lacks any explicit subject.
truth_Stance_toward_main_subject    Unclear - Without a subject, a stance cannot b...
truth_Topic_Focus                   Unclear - The post is devoid of any specific t...
dtype: object"
328,"truth_Narrative_Frame                                       Law and Order/Accountability
truth_Main_Subject                     Unspecified Political Party (implied: Democrat...
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                                        Hypocrisy/Double Standard
bluesky_Main_Subject                                          Republican Party (implied)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                         Legal Justice/Hypocrisy
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                 Legal/Institutional
dtype: object"
329,"truth_Narrative_Frame                                Political Shift / Rise of Extremism
truth_Main_Subject                                     AfD (Alternative für Deutschland)
truth_Stance_toward_main_subject       Neutral (reporting a fact, though the phrasing...
truth_Topic_Focus                      Institutional (focus on political parties and ...
bluesky_Narrative_Frame                Rise of Extremism/Political Polarization & Med...
bluesky_Main_Subject                                   AfD (Alternative für Deutschland)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional/Political - specifically the ris...
mastodon_Narrative_Frame                                  Historical Parallelism/Warning
mastodon_Main_Subject                                  Afd (Alternative für Deutschland)
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
331,"truth_Narrative_Frame                  International Relations/Foreign Policy & Perce...
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, impact on interna...
bluesky_Narrative_Frame                        International Relations/Geopolitical Risk
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                          Institutional/International
mastodon_Narrative_Frame               National Security/International Relations & Pe...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                               Institutional/International Relations
dtype: object"
332,"truth_Narrative_Frame                  Media Bias/Influence & Potential Conflict of I...
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (International Criminal Court) &...
bluesky_Narrative_Frame                Foreign Policy/International Relations & Poten...
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                       Institutional & Foreign Policy
mastodon_Narrative_Frame                International Law & Justice/Diplomatic Relations
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                         Institutional/International Relations/Legal
dtype: object"
333,"truth_Narrative_Frame                  Accountability/Error (Potentially Legal Justic...
truth_Main_Subject                     Unclear (Likely referencing a public figure, b...
truth_Stance_toward_main_subject       Critical (Implies a mistake or misstep deservi...
truth_Topic_Focus                      Unclear (Could be legal, institutional, or per...
bluesky_Narrative_Frame                                        Media Bias/Satire/Mockery
bluesky_Main_Subject                   Unclear (likely referring to a legal or politi...
bluesky_Stance_toward_main_subject       Critical (through implied ridicule and sarcasm)
bluesky_Topic_Focus                    Legal/Institutional (suggests a reaction to a ...
mastodon_Narrative_Frame                                     Media Bias / Accountability
mastodon_Main_Subject                  Unclear (Implied: Possibly Donald Trump or a r...
mastodon_Stance_toward_main_subject    Critical (Implied - suggesting a mistake or wr...
mastodon_Topic_Focus                   Legal (Likely referencing a legal proceeding o...
dtype: object"
334,"truth_Narrative_Frame                                             Media Bias / Deception
truth_Main_Subject                                                       Donald J. Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                  Institutional / Media
bluesky_Narrative_Frame                Media Manipulation/Deception & Political Strategy
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional & Cultural (focus on media portr...
mastodon_Narrative_Frame                                            Media Bias/Deception
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, media production/...
dtype: object"
335,"truth_Narrative_Frame                                 Legal Justice / Accusation & Guilt
truth_Main_Subject                     Unclear (Implied: Someone facing accusations -...
truth_Stance_toward_main_subject       Critical (Suggests guilt based on the mere fac...
truth_Topic_Focus                      Legal / Accusatory (Focuses on the implication...
bluesky_Narrative_Frame                Media Bias & Character Assassination/Guilt by ...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Political/Cultural - focusing on perceived pat...
mastodon_Narrative_Frame               Legal Justice & Political Accountability (with...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                     Legal/Institutional & Political
dtype: object"
336,"truth_Narrative_Frame                                         Policy Debate/Legal Action
truth_Main_Subject                     Arizona State Government/Border Law (indirectl...
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                                                   Institutional/Policy
bluesky_Narrative_Frame                                   Policy/Legal & Border Security
bluesky_Main_Subject                   Arizona Republicans (implicitly, also US-Mexic...
bluesky_Stance_toward_main_subject     Neutral/Reporting (primarily factual reporting...
bluesky_Topic_Focus                    Institutional/Legal (focus on the legislative ...
mastodon_Narrative_Frame                                              Policy/Law & Order
mastodon_Main_Subject                  Arizona Republicans (and implicitly, the State...
mastodon_Stance_toward_main_subject    Neutral (reporting on action, no explicit endo...
mastodon_Topic_Focus                   Institutional/Legal (focus on legislative acti...
dtype: object"
337,"truth_Narrative_Frame                              Economic Concerns/Data Interpretation
truth_Main_Subject                       U.S. Economy (implicitly, Biden administration)
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (economic data reporting and int...
bluesky_Narrative_Frame                                             Economic Performance
bluesky_Main_Subject                                                               Biden
bluesky_Stance_toward_main_subject                                            Supportive
bluesky_Topic_Focus                    Institutional (specifically, economic indicato...
mastodon_Narrative_Frame                                    Economic Performance/Success
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                   Institutional (specifically, economic data and...
dtype: object"
338,"truth_Narrative_Frame                                                         Corruption
truth_Main_Subject                                                           Epoch Times
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, financial malfeas...
bluesky_Narrative_Frame                                         Legal Justice/Corruption
bluesky_Main_Subject                                                         Epoch Times
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                  Institutional/Legal
mastodon_Narrative_Frame                                                      Corruption
mastodon_Main_Subject                                                        Epoch Times
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                 Institutional/Legal
dtype: object"
339,"truth_Narrative_Frame                                  Media Bias / Institutional Change
truth_Main_Subject                                                  X (formerly Twitter)
truth_Stance_toward_main_subject       Neutral (reporting a change, without explicit ...
truth_Topic_Focus                                                          Institutional
bluesky_Narrative_Frame                                Institutional Change/Policy Shift
bluesky_Main_Subject                                    Elon Musk's X (formerly Twitter)
bluesky_Stance_toward_main_subject                         Skeptical/Concerned (implied)
bluesky_Topic_Focus                    Institutional/Technological (focus on platform...
mastodon_Narrative_Frame                                  Media Bias/Platform Regulation
mastodon_Main_Subject                                               X (formerly Twitter)
mastodon_Stance_toward_main_subject                                Neutral/Observational
mastodon_Topic_Focus                                       Institutional/Platform Policy
dtype: object"
340,"truth_Narrative_Frame                             Economic Instability/Market Volatility
truth_Main_Subject                     Warren Buffett/Berkshire Hathaway (implicitly ...
truth_Stance_toward_main_subject       Neutral (reporting a factual event, though the...
truth_Topic_Focus                      Institutional (focus on a major financial inst...
bluesky_Narrative_Frame                                  Institutional/Technical Failure
bluesky_Main_Subject                   Warren Buffett (indirectly, through Berkshire ...
bluesky_Stance_toward_main_subject                                               Neutral
bluesky_Topic_Focus                    Institutional (specifically, the New York Stoc...
mastodon_Narrative_Frame                               Media Bias / Conspiracy/Suspicion
mastodon_Main_Subject                  Warren Buffett (implicitly, through Berkshire ...
mastodon_Stance_toward_main_subject    Suspicious/Critical (implies possible maliciou...
mastodon_Topic_Focus                   Institutional (focus on the New York Stock Exc...
dtype: object"
341,"truth_Narrative_Frame                        Systemic Corruption/Decline of Institutions
truth_Main_Subject                                            The Republican Party (GOP)
truth_Stance_toward_main_subject                                      Extremely Critical
truth_Topic_Focus                      Institutional/Political - Critique of a politi...
bluesky_Narrative_Frame                                         Demonization/Moral Panic
bluesky_Main_Subject                                              GOP (Republican Party)
bluesky_Stance_toward_main_subject                            Extremely Critical/Hostile
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame                                     Demonization/Moral Outgroup
mastodon_Main_Subject                                             Republican Party (GoP)
mastodon_Stance_toward_main_subject                                      Highly Critical
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
342,"truth_Narrative_Frame                                                 Truth/Authenticity
truth_Main_Subject                                                               Unclear
truth_Stance_toward_main_subject       Supportive (Implied - the post affirms somethi...
truth_Topic_Focus                      Unclear - Lacks specific context, so the topic...
bluesky_Narrative_Frame                                               Truth/Authenticity
bluesky_Main_Subject                   Unclear (Implies agreement with an existing na...
bluesky_Stance_toward_main_subject     Supportive (Implies support for a viewpoint pr...
bluesky_Topic_Focus                    Unclear (Lacks specifics, could relate to any ...
mastodon_Narrative_Frame                                            Media Bias/Deception
mastodon_Main_Subject                  Unclear (Impliedly, mainstream media or establ...
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, perceived dishone...
dtype: object"
344,"truth_Narrative_Frame                                           Tragedy/Community Impact
truth_Main_Subject                           N/A (Focus is on the victims and community)
truth_Stance_toward_main_subject                                                 Neutral
truth_Topic_Focus                      Institutional (specifically, the societal issu...
bluesky_Narrative_Frame                          Systemic Inequality/Crisis & Statistics
bluesky_Main_Subject                           Guns/Gun Violence (not a specific person)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (focus on statistics and broader...
mastodon_Narrative_Frame                                                  Tragedy/Crisis
mastodon_Main_Subject                                                               None
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                   Institutional (focus on public safety/law enfo...
dtype: object"
345,"truth_Narrative_Frame                                          Personal Attack
truth_Main_Subject                                                Kathy Hochul
truth_Stance_toward_main_subject                                      Critical
truth_Topic_Focus                                              Personal Attack
bluesky_Narrative_Frame                Personal Attack/Character Assassination
bluesky_Main_Subject                                              Kathy Hochul
bluesky_Stance_toward_main_subject                             Highly Critical
bluesky_Topic_Focus                                            Personal Attack
mastodon_Narrative_Frame                              Accountability/Criticism
mastodon_Main_Subject                                             Kathy Hochul
mastodon_Stance_toward_main_subject                                   Critical
mastodon_Topic_Focus                                   Institutional/Political
dtype: object"
346,"truth_Narrative_Frame                         Institutional Failure/Regulatory Overreach
truth_Main_Subject                                 Environmental Protection Agency (EPA)
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, regulatory policy...
bluesky_Narrative_Frame                         Institutional Conflict / Legal Challenge
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                Legal / Institutional
mastodon_Narrative_Frame                   Institutional Conflict / Regulatory Challenge
mastodon_Main_Subject                                               Biden Administration
mastodon_Stance_toward_main_subject    Critical (Indirectly - through highlighting op...
mastodon_Topic_Focus                   Institutional (Specifically, regulatory policy...
dtype: object"
347,"truth_Narrative_Frame                                  Geopolitical Conflict/Provocation
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional/Geopolitical; with elements of p...
bluesky_Narrative_Frame                          Geopolitical Conflict/National Security
bluesky_Main_Subject                                China/Taiwan/United States (Triadic)
bluesky_Stance_toward_main_subject     {'China': 'Critical (portrayed as aggressive a...
bluesky_Topic_Focus                    Institutional/Geopolitical (primarily focused ...
mastodon_Narrative_Frame                           Geopolitical Conflict/Security Threat
mastodon_Main_Subject                                                              China
mastodon_Stance_toward_main_subject    Critical (portrays China as aggressive and lea...
mastodon_Topic_Focus                   Institutional/Geopolitical (focuses on interna...
dtype: object"
348,"truth_Narrative_Frame                                    Government Overreach/Conspiracy
truth_Main_Subject                     FDA (Food and Drug Administration) - implicitl...
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically targeting governme...
bluesky_Narrative_Frame                            Institutional Failure/Crisis Response
bluesky_Main_Subject                   FDA & State Legislators (implicitly also the d...
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically regulatory and leg...
mastodon_Narrative_Frame                                     Institutional/Policy Debate
mastodon_Main_Subject                                         Lawmakers (in some states)
mastodon_Stance_toward_main_subject    Critical (implicitly, by highlighting a potent...
mastodon_Topic_Focus                   Institutional (specifically, legislative actio...
dtype: object"
350,"truth_Narrative_Frame                  Legal Justice & Political Persecution (framing...
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                                  Legal
bluesky_Narrative_Frame                              Legal Justice/Potential Obstruction
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                             Legal Justice/Potential Obstruction
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
351,"truth_Narrative_Frame                                               Policy/Institutional
truth_Main_Subject                           General Public/American People (implicitly)
truth_Stance_toward_main_subject                       Supportive (of a specific policy)
truth_Topic_Focus                                                   Policy (immigration)
bluesky_Narrative_Frame                            Systemic Inequality & Economic Impact
bluesky_Main_Subject                                   Biden Administration (implicitly)
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                             Institutional & Economic
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                  New York Times (implicitly, representing mains...
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional (specifically, media practices a...
dtype: object"
352,"truth_Narrative_Frame                                        Legal Justice/Crime Control
truth_Main_Subject                               Louisiana State Government (implicitly)
truth_Stance_toward_main_subject       Neutral (reporting on a proposed policy, invit...
truth_Topic_Focus                                                    Legal/Institutional
bluesky_Narrative_Frame                                         Legal Justice/Deterrence
bluesky_Main_Subject                                                 Louisiana Lawmakers
bluesky_Stance_toward_main_subject        Neutral/Observational (with a hint of concern)
bluesky_Topic_Focus                                                  Legal/Institutional
mastodon_Narrative_Frame                                                   Legal Justice
mastodon_Main_Subject                           Louisiana (State Government/Legislature)
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                                 Legal/Institutional
dtype: object"
353,"truth_Narrative_Frame                                         Legal Justice & Corruption
truth_Main_Subject                                           Donald Trump & Samuel Alito
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                  Legal & Institutional
bluesky_Narrative_Frame                Legal Justice & Persecution (with elements of ...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                                Legal
mastodon_Narrative_Frame                                    Legal Justice/Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
354,"truth_Narrative_Frame                                        Media Bias / Disinformation
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Legal (regarding claims of factual accuracy an...
bluesky_Narrative_Frame                                      Media Bias / Disinformation
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                            Supportive
bluesky_Topic_Focus                    Institutional (specifically, combating misinfo...
mastodon_Narrative_Frame                                       Media Bias/Disinformation
mastodon_Main_Subject                                                              Biden
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                                     Media/Political
dtype: object"
355,"truth_Narrative_Frame                                          Media Bias/Accountability
truth_Main_Subject                                                        Rupert Murdoch
truth_Stance_toward_main_subject       Critical (though subtly; the tone is mocking/s...
truth_Topic_Focus                      Institutional (specifically, Murdoch's control...
bluesky_Narrative_Frame                         Media Bias/Influence & Personal Critique
bluesky_Main_Subject                             Rupert Murdoch & (Implied) Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                       Institutional/Media & Personal
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                                                     Rupert Murdoch
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                                       Institutional
dtype: object"
356,"truth_Narrative_Frame                                         Moral Outrage/Condemnation
truth_Main_Subject                     Unclear - likely referring to a person or acti...
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                            Personal/Emotional Reaction
bluesky_Narrative_Frame                                   Moral condemnation/Disapproval
bluesky_Main_Subject                   Unclear (likely referring to an individual or ...
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Personal/Emotional Reaction (lacks specific de...
mastodon_Narrative_Frame                                      Moral condemnation/Outrage
mastodon_Main_Subject                  Unclear (targets a group, not a specific indiv...
mastodon_Stance_toward_main_subject                             Critical/Highly Negative
mastodon_Topic_Focus                                                   General/Character
dtype: object"
